system:index,Class,class,export_date,project,source,.geo
0,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.73398206945029,21.73697347791528]}"
1,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.72162245030967,21.76120862153083]}"
2,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.72642896886435,21.70826867942053]}"
3,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.74153517003623,21.700613099111955]}"
4,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.77724073644248,21.679558154520336]}"
5,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.80401991124717,21.689766996832834]}"
6,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.83217237706748,21.68976699683283]}"
7,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.83148573155967,21.73569783077497]}"
8,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.8115730118331,21.778425842765735]}"
9,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.77792738195029,21.779701110283085]}"
10,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.80470655675498,21.816041464928773]}"
11,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.72986219640342,21.816041464928773]}"
12,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.76488111730185,21.805841594313218]}"
13,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.74084852452842,21.789265255126047]}"
14,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.72574232335654,21.845999380593607]}"
15,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.71544264073935,21.881048543107376]}"
16,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.74290846105185,21.870853310513585]}"
17,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.74084852452842,21.911629868614106]}"
18,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.77449415441123,21.899525545093887]}"
19,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.78822706456748,21.89188017947729]}"
20,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.82187269445029,21.884871567519937]}"
21,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.91250990148154,21.6763677429798]}"
22,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.89465711827842,21.71592385251801]}"
23,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.88229749913779,21.78225161129367]}"
24,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.85345838780967,21.809666630949163]}"
25,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.86993787999717,21.83452687773378]}"
26,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.90152357335654,21.837076402375317]}"
27,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.88573072667685,21.871490533889283]}"
28,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.86032484288779,21.904622227692453]}"
